judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
SISTEM PAKAR DIAGNOSA PENYAKIT GAGAL JANTUNG MENGGUNAKAN METODE BAYESIAN NETWORK,Penulis : M. Khoirul Mahmudi,"Dosen Pembimbing I : Mula'ab, S.Si., M.Kom.","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom.","Penyakit Gagal jantung adalah pembunuh nomer satu pada negara yang sedang berkembang. Seperti halnya di Indonesia dan negara-negara asia pada umumnya, di Amerika pun  penyakit jantung pernah menjadi pembunuh nomer satu. Di seluruh dunia, jumlah penderita penyakit ini terus bertambah. Ketiga  kategori penyakit ini tidak lepas  dari gaya  hidup  yang kurang sehat yang banyak dilakukan seiring dengan berubahnya pola hidup.  Faktor-faktor pemicu serangan 
jantung  ialah  rokok,  mengonsumsi  makanan  berkolest erol  tinggi,  kurang  gerak,  malas berolahraga, stres, dan kurang istirahat.Seiring kemajuan teknologi dibuatlah sistem yang bisa mendiagnosa  penyakit-penyakit  tersebut.  Sistem  ini  yang  nanti  akan  menggantikan  pakar aslinya  dalam  penentuan diagnosa  penyakit.  Sehingga  dengan  sistem  ini  nanti   diharapkan pasien  bisa  mendapatkan  pelayanan  lebih  cepat  dan  akurat.  Sistem  pakar  ini  menggunakan 
metode  Bayesian Network  sebagai acuannya.  Dalam metode ini menggunakan struktur gejala yang saling berkaitan untuk mendiagnosa penyakit. Struktur tersebut ditentukan oleh seorang pakar dibidang jantung. Kemudian ditentukan nilai probabilitas dari setiap gejala berdasarkan keterkaitan antara gejala. Setelah didapatkan semua baru semua nilai dibandingkan dan diambil nilai  terbaik  sebagai  hasil  diagnosa.  Dalam  pengaplikasiannya  sistem  ini  memiliki  akurasi 
sampai lebih dari 80%.","Heart Failure Disease is the number one killer in the developing country . As in Indonesia and Asian countries in general , even of heart disease in America was once the number one killer . Around  the  world  ,  the  number  of  patients  with  this  disease  continues  to  grow  .  The  third category of this disease can’t be separated from the unhealthy lifestyle that is much in line with 
the changing pattern of life . Factors triggering heart attacks are smoking , high cholesterol foods , less mobile , supine  exercise , stress , and lack of rest .  As technology advances made system that can diagnose these diseases . This system will be replacing the original specialists in determining the diagnosis of disease . So with this system the patient is expected to be able 
to get service more quickly and  accurately . This expert system uses Bayesian networks as the reference method.  In this method uses the structure of inter-related symptoms to diagnose the disease. The structures were determined by a cardiac specialist. Then the probability of each value  is determined based on the relationship between  the  symptoms. After getting all new all values are compared and the best value is taken as a diagnosis. In its application of this system has an accuracy of up to more than 80 % ."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Perancangan Sistem Informasi Badan Kepegawaian Daerah ( BKD ) Bangkalan Sebagai Sub sistem dari E-Government Bangkalan Menggunakan TOGAF ADM ,Penulis : MALIKUL HAMZAH,"Dosen Pembimbing I : Moch. Kautsar Sophan, S.Kom., M.MT.","Dosen Pembimbing II :Yeni Kustiyaningsih, S.Kom., M.Kom.","Kantor Badan Kepegawaian kota Bangkalan adalah instansi pemerintahan yang bergerak di bidang pelayanan kepegawaian. Untuk meningkatkan kualitas pelayanan maka perlu adanya sebuah sistem informasi yang mampu memonitoring dan membantu proses kinerja dari dinas tersebut. Oleh karena itu dalam penelitian  ini dibahas bagaimana menerapkan  Architecture Enterprise BKD Bangkalan dengan menggunakkan metode TOGAF ADM dan mengimplementa sikannya kedalam sebuah implementasi aplikasi Enterprise yang akan dibentuk menjadi satu keterpaduan dengan  E-government Bangkalan. TOGAF ADM memiliki empat komponen utama: arsitektur bisnis, arsitektur data, arsitektur teknologi dan arsitektur aplikasi. Intinya TOGAF digunakan untuk membuat Architecture Enterprise dari semua aspek tersebut. Dalam penelitian ini akan dibahas tentang perancangan sistem arsitektur Sistem informasi BKD Bangkalan sebagai sub-sistem dari E-government Bangkalan dengan menggunakan TOGAF ADM tujuannya agar dapat menghasilkan sistem aplikasi administrasi kantor Badan Kepegawaian Daerah  Bangkalan, membuat Blue Print, serta memperbaiki efisiensi, kenyamanan, serta aksesibilitas pelayanan terhadap publik agar  lebih baik. 

Kata Kunci: Arsitektur interprise, TOGAF ADM, Arsitektur bisnis, Arsitektur data, Arsitektur aplikasi, Arsitektur teknologi
","Office of Personnel Agency is Bangkalan city government agencies engaged in the civil service. To improve the quality of service it is necessary to an information system that is able to monitor and assist in the performance of the agency. Therefore in this studydiscussed how to implement  Enterprise Architecture BKD Bangkalan  with TOGAF ADMusing this method and implement it into an Enterprise application   implementation whichwill be formed into a single alignment with the E- government Bangkalan. TOGAF ADMhas four main components: business architecture, data architecture, technologyarchitecture and application architecture. The point TOGAF Enterprise Architecture is used to make of all these aspects. In this study will be discussed about the design of  information systems architecture systems  BKD Bangkalan as sub-systems of e-government using the TOGAF ADM Bangkalan  aim to obtain an application systemadministration Bangkalan Regional Human Resources Agency office, make the Blue Print, and improve efficiency,convenience, and accessibility of services to the public for the better. 

Keyword : Enterprise architecture, TOGAF ADM, business architecture, data architecture, application architecture, technology architecture
"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"SISTEM INFORMASI PEMETAAN PEMILIHAN AREA LAHAN UNTUK PENGELOLAAN SUMBER AIR DENGAN METODE ELECTRE
(Studi Kasus : Kabupaten Sumenep)",Penulis : MIFTAHOL ARIFIN,"Dosen Pembimbing I : MULA’AB, S.Si, M.Kom","Dosen Pembimbing II :FIRMAN FARID MUHSONI, S.Pi. M.Sc","ABSTRAK

Kondisi keterbatasan sumber daya air di Kabupaten Sumenep saat ini dapat menjadi kendala dalam pengembangan wilayah yang nantinya berdampak pada perubahan guna lahan, peningkatan kebutuhan air sangat meningkat dikarenakan perkembangan penduduk dan kegiatan sosial-ekonomi yang bermunculan dan berkembang pesat pasca selesainya proyek pembangunan jembatan Suramadu. Atas dasar tersebut, maka penelitian ini perlu dilakukan untuk memilih lahan yang ada sehingga nantinya dapat digunakan untuk pengelolaan sumber air. Penelitian ini bertujuan untuk menentukan pemilihan area paling sesuai untuk menetapkan lahan guna kepentingan pengelolaan sumber air. Metode yang digunakan dalam penelitian ini adalah metode electre, yang mana metode ini merupakan metode pengambilan keputusan yang nantinya di implementasikan kedalam sistem informasi berbasis website sehingga dalam penggunaannya menjadi lebih mudah untuk dipahami dan di operasikan. Dalam sistem informasi tersebut dilengkapi penggunaan google maps sehingga dapat lebih mempermudah user dalam mendapatkan info dari sebuah area lahan yang diseleksi.

Kata Kunci : electre, lahan, sistem informasi, google maps.
","ABSTRACT

Conditions of limited water resources in Sumenep today can be an obstacle in the development of the area that will have an impact on land use changes, an increase in water demand will be greatly increased due to population growth and socio-economic activities that have emerged and developed rapidly after the completion of the longest bridge construction project. On this basis, this research needs to be done to choose the existing land that can later be used for the management of water resources. This study aims to determine the selection of the most suitable areas to establish land for the purpose of water resources management. The method used in this study is the ELECTRE method, which this method is a method of decision making that will be implemented into a web-based information systems in its use so that it becomes easier to understand and to operate. In the information system fitted using google maps so it can better facilitate users in getting the info from a selected area of land. 

Keywords: ELECTRE, land, information systems, google maps."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ANALISIS PERAMALAN PENJUALAN PRODUK ASESORIS KOMPUTER MENGGUNAKAN METODE EXPONENTIAL SMOOTHING (ES) DAN ORDINARY LEAST SQUARE (OLS),Penulis : Moh. Hasbi Ash Shiddieqy,"Dosen Pembimbing I : Mula’ab, S.Si., M.Kom.","Dosen Pembimbing II :Yeni Kustiyahningsih, S.Kom., M.Kom.","Dengan prediksi yang baik, dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Semakin banyak orang menggunakan Komputer  maka jumlah permintaan konsumen pada Asesoris komputer secara otomatis penjualannya juga akan meningkat. Oleh karena itu dibutuhkan sistem yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Untuk meramalkan pejualan Asesoris komputer Digunakanlah metode peramalan Single Exponential Smoothing (SES) dan metode Oldinary Least Square (OLS). Hasil peramalan tersebut akan dihitung  dan dibandingkan menggunakan Mean Square Error (MSE) untuk mendapatkan hasil error yang terkecil dan peramalan terbaik. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan asesoris komputer menggunakan metode Single Exponential Smoothing (SES) dan Oldinary Least Square (OLS) cukup baik diterapkan untuk studi kasus di SKY DISK Surabaya. Dengan mendapatkan rata-rata MSE sebesar 5257.5 dan rata-rata MAPE sebesar 0.9463%.","With a good prediction, the work plan can be made more effective and efficient company. More and more people using Computer then the number of consumer demand on the computer automatically Accessories sales also increased. Therefore needed a system that can predict the number of weekly sales for the company to get the maximum benefit. To predict turnover forecasting methods are used computer Accessories Single Exponential Smoothing (SES) and the Least Square method Oldinary (OLS). Forecasting results will be calculated and compared using the Mean Square Error (MSE) to get the smallest error and the best forecasting. Calculations of some test results of forecasting has been done can be concluded that the process of forecasting sales of computer accessories using the Single Exponential Smoothing (SES) and Oldinary Least Square (OLS) is best applied to a case study in Surabaya SKY DISK. With an average MSE of 5257.5 and an average MAPE of 0.9463%"
,,,,,
,,,,,
,,,,,
SISTEM PENENTU CALON PENERIMA BEASISWA IKSASS RAYON BANGKALAN MENGGUNAKAN METODE SMARTER DAN FORWARD CHAINING,Penulis : Moh Rudi,"Dosen Pembimbing I : Achmad Ubaidillah, Ms.,S.T.,M.T","Dosen Pembimbing II :Fika Hastarita Rachman, S.T., M.Eng","Beasiswa  indentik  dengan  penghargaan yang  diberikan  kepada  pelajar/santri  berprestasi dalam  studi  yang  ditempuhnya.  IKSASS dalam  menumbuhkan  dan  meningkatkan semangat  santri  untuk  berprestasi dilakukan  dengan  memberikan  penghargaan  berupa  beasiswa  tiap  semester. Proses  seleksi  calon penerima beasiswa di Ikatan Santri Alumni Salafiyah Syafiiyah (IKSASS) Rayon Kabupaten Bangkalan dilengkapi  dengan  berbagai  kriteria. Seperti ekonomi keluarga, tanggungan keluarga, status orang tua dan lain-lain. Hal tersebut perlu  diperhatikan  dalam  perhitungan  penilaian  terhadap  kriteria  dan harus benar-benar relevan karena pada dasarnya akan berpengaruh pada hasil akhirnya. Dengan menggunakan Sistem Pendukung keputusan, calon penerima beasiswa menggunakan metode SMARTER inferensi Forward Chaining yang akan dibuat, hasil yang  didapat  telah  memenuhi  kriteria  yang  diinginkan  pihak IKSASS. Selain itu penggunaaan Forward Chaining efektif digunakan untuk mengantisipasi kesamaan hasil perankingan. Sehingga proses seleksi calon penerima beasiswa IKSASS rayon bangkalan tepat sasaran.

Kata kunci : sistem pendukung keputusan, Simple Multi-Atribute Rating  Technique Exploiting Rank (SMARTER), Forward Chaining.
","Decision support systems are part of a computer-based information system used to support decision making within an organization or company. Scholarships is identic with the award given to the students that excellent in their study. IKSASS have initiate to improve the spirit of students to achievement is by giving awards a scholarship for each semester. The process of selection of scholarship recipients at the ""Ikatan Santri Alumni Salafiyah Syafiiyah (IKSASS)"" Bangkalan region is be equipped with many criteria. Such as family income, dependents, status of parents and others. With decision support system using the SMARTER Inferensi Forward Chaining to be made, the results have met the desired criteria IKSASS. Besides the use of Forward Chaining effectively used to anticipate similarity assessment. 

Keywords: decision support systems, Simple Multi-Atribute Rating  Technique Exploiting Rank (SMARTER), Forward Chaining.
"
